ID,sentence,label
facebook_corpus_msr_1723796,well said sonuyou courage stand dadagiri muslims,AG
facebook_corpus_msr_466073,private banks atms like hdfc icici etc cash public sector banks atm working,NAG
facebook_corpus_msr_1493901,question is pakistan adhere this?,AG
facebook_corpus_msr_405512,pakistan comprised fake muslims know meaning unity imposes thoughts othersall rascals gathered there,AG
facebook_corpus_msr_1521685,??we r cow slaughterso course stop leather manufacturing happens,NAG
facebook_corpus_msr_462570,wondering educated ambassador struggling pay creditdebit decent restaurant! cant imagine diplomat developed nation card needs cash dinner,AG
facebook_corpus_msr_465051,inflation react shocks demon?,NAG
facebook_corpus_msr_450994,good jobthis guis creating problem n socacity,AG
facebook_corpus_msr_326287,false news indian media simply misguiding nation creating hatredmedia v careful spreading newsshame,NAG
facebook_corpus_msr_430450,permanent foes permanent friends interest permanent !,NAG
facebook_corpus_msr_1804887,deepak kumar sharma saabchalo aap ki ye baat ek baar mann linow whatever pm saab talked kya kya kia us mainhe campaigner bjp nothing elseek cheez bta do implementing bills opposed example fdigst list long,NAG
facebook_corpus_msr_2111268,communist parties killed lacks opponents wb years ruling????? ?,AG
facebook_corpus_msr_470188,guys counter modi govt decisions fact black money cleanup stand taken many discussions news channel individuals meetings much efforts made media make people scared provoke,NAG
facebook_corpus_msr_2111389,rss time ban terrorist organization,AG
facebook_corpus_msr_405837,acting watch option !!! grimacing facewinking face tongue,NAG
facebook_corpus_msr_482226,happy diwali!!lets wish next one year healthwealth n growth indian economy,NAG
facebook_corpus_msr_439533,lolz said gonna employ large number people cyber security sector gonna employ illiterates profile????,NAG
facebook_corpus_msr_1525131,funny stupid,AG
facebook_corpus_msr_443046,absolutely! deeper dive shallower cushion ,AG
facebook_corpus_msr_2111210,brown sahib anti national leftist commies media muslim pandering hindu sickolars milked secularism worth render mere failed slogan sickolarism nothing continuation british policy divide rule rss opposed the idea secularism absolutely used dagger heart hindus hinduism hindustan ,AG
facebook_corpus_msr_461000,nifty day moving average next day moving average ,NAG
facebook_corpus_msr_1429853,good see terrror pak afgan india well development step,NAG
facebook_corpus_msr_331246,first allthere gaurakshak assamthe villagers beaten two thievesthese things happenwhen thieves try steal property farmers have,NAG
facebook_corpus_msr_1805375,aap dont need monsters like u,AG
facebook_corpus_msr_469159,tht hv thn flats land legal rest surrender properties govt,AG
facebook_corpus_msr_464500,upon time bengal kolkata prosperous states india compared bihar odisa wake mitra use knowledge help bengal rather delivering stupid lecture,NAG
facebook_corpus_msr_322726,oh pak army say porki hijada army whose country excepted bodies dickless coward army kargil wararmy submitted infront indian army east pakistan became bangladeshand hijada army even save school childrens merciless killings indian forces really reached lahore ,AG
facebook_corpus_msr_334533,would lone boss supporters shifts kejriwal,NAG
facebook_corpus_msr_1723831,want get rid u indianswhy u hear loud cries,AG
facebook_corpus_msr_417581, jio customers converted prime extended datebeaming face smiling eyes,NAG
facebook_corpus_msr_1990156,loot peoples mandate democracy?,AG
facebook_corpus_msr_2032235,thing eyes judiciary terrorist accused eyes terrorist deserved killed ever keep bad eye nation killed without mercy,AG
facebook_corpus_msr_1723874,problem occur india countries?,AG
facebook_corpus_msr_416461,positional buy jpassociate every decline target time frame years,NAG
facebook_corpus_msr_445648,government office implement online transactions also parties show account transaction running elections rti,AG
facebook_corpus_msr_1805076,dramebaaj anna kya bjp ki government aate hi lokpal bill aur lokpal bhool gaye baat karne mae sharm bhi nahi aatee,AG
facebook_corpus_msr_382223,unfortunately wat indian govt capable doing!!!!i dint vote modiji see crap,AG
facebook_corpus_msr_397776,coward like u backstab wait watch u forgot day lakh porkis soldier freed india way r u indian news channel dont country channels ?,AG
facebook_corpus_msr_427865,hi anuj brought divis days tata motor dvr target,NAG
facebook_corpus_msr_445669,people talk common man suffering timethis country thousands laid lives freedomcant common man endure little trouble stand queues greater good,AG
facebook_corpus_msr_470981,visited atm cont able withdraw moneynot working,AG
facebook_corpus_msr_406854,know people nagaland meghalaya hate bjp truth lok sabha seats states cant stop bjp assam arunachal yes matters states becoming strongholds bjp day day including manipur tripura sikkim,NAG
facebook_corpus_msr_450764,modi ji pain nö real gain,AG
facebook_corpus_msr_334884,hell bjp political parties corrupt like anyone make money whomsoever may vote supporting naxalites kill soldiers taking side jnu students shout bharat ke tukde katenge afzhal guru tere katil jinda hai recent there nothing wrong chanting pakistan zhindabad attributed man hence decidedly antinational,AG
facebook_corpus_msr_2081761,mobbing poor girl instead helping her jump conclusions impulsive,AG
facebook_corpus_msr_456244,ohi get ithes saying screw bajaj making this!,AG
facebook_corpus_msr_2127025,udhav shown bjp placebravo shivsena,AG
facebook_corpus_msr_326806,unebeivable atory time back india wrongly claiming surgical strikes pakistan claiming surgicam strike pakistan wrong again,AG
facebook_corpus_msr_470955,please advice bank nifty npa benefit psu banks ?,NAG
facebook_corpus_msr_443467,plz share ur view astec life?? bought ,NAG
facebook_corpus_msr_325898,use offensive defensive strategy doctrinelearn lessons israel and give free hand security forces covert missions inside pak bleed pakistan,NAG
facebook_corpus_msr_335002,tollywood parbhas die heart fans parbhas acting bahubali face tears joyface tears joyface tears joyface tears joyface tears joybahubali graphics cartoon movie compare indian cinema bollywood movies khan acting aamir salman shahrukh acting,AG
facebook_corpus_msr_327805,shame shame lowly called educated civilised popation pakistan claim pakistani army professional soldiers true professionals professional terrorists certainly soldiers india indians global world understanding recognising professional terrorists,AG
facebook_corpus_msr_325748,india must prevent pak soldiers cross loc coming india stealthily cost purpose use bullets liberally time india also slap trade embargo pakistan urge convince us powerful nations introduce economic sanctions pakistan indefinite period terrorist state would brought knees,NAG
facebook_corpus_msr_325406,haram pig pig scavengers scavengers eat dead harm dead mutilation mutilation pakistan pakistan pig,AG
facebook_corpus_msr_497389,hand reliance jio giving k months subscription unlimited calling std roaming unlimited g this means actual g speed oh wait extended plan months early customers airtel got lower gg rates gb internet? |,NAG
facebook_corpus_msr_443134,mistry substantiate wrong tata sons tata counsel,NAG
facebook_corpus_msr_484280,view suzlon energy view purchase canadian solar,NAG
facebook_corpus_msr_394729,baba always wants encash emmotional atmosphere hes lost sheen drastically dramatically,NAG
facebook_corpus_msr_328128,people happy km,AG
facebook_corpus_msr_2115215,please lose series itll shameful lose australian team home,NAG
facebook_corpus_msr_1945575,well said,NAG
facebook_corpus_msr_426286,india become leading country mobile data usage mukesh ambani,NAG
facebook_corpus_msr_2041603,agreed,NAG
facebook_corpus_msr_405622,intolerance indian groups where allkhan amir khan muslimon talking every thinks,AG
facebook_corpus_msr_1723900,tweet hate ??,AG
facebook_corpus_msr_1945453,indian express found shirish kunder acknowledgeable personality front page news standard indian express gone oh forgot wife sitaram yachur resident editor indian express ok,AG
facebook_corpus_msr_1561701,entertainment  karan johar might justin bieber kick sixth season koffeewithkaran,AG
facebook_corpus_msr_2260838,thats hypothetical bjp never win,AG
facebook_corpus_msr_1804793,mohit soni reality bro please read carefully,NAG
facebook_corpus_msr_495526, lakh bothunbiased approach regardless rank medalthumbs upthumbs up proud footballerneutral face,NAG
facebook_corpus_msr_397897,pakisthan got guts admit thing trueliars,AG
facebook_corpus_msr_1521636,im salman fan mate think fan zee news nano chit notes lets talk intellect coz people low intellect judge people based choices,AG
facebook_corpus_msr_482473,majority kashmiris proindia unable assert effectively order bring normalcy kashmir hence invitation going kashmir proindia kashmiris through political movement try bring normalcy kashmir also solve kashmir problem mentioned at regards email hemrajjain,NAG
facebook_corpus_msr_1833357,lynching never part freedom struggle chaddis always chamchas british know that?,AG
facebook_corpus_msr_1724259,sham,AG
facebook_corpus_msr_326860,dear india stop playing emotions people votes,AG
facebook_corpus_msr_334498,compare five worst riots post independence lets know faltered congress cms riot hit states,NAG
facebook_corpus_msr_322442,remember japanese fan last fifa world cup wondering mizos decedents japanese world war ii famous battle kohima britishers japs squinting face tonguesquinting face tonguesquinting face tongue ps pun intended,NAG
facebook_corpus_msr_502844,work nh getting completed? particluarly hero honda chowk??,NAG
facebook_corpus_msr_1805313,anna hazare agent,AG
facebook_corpus_msr_329986,ask khans it ways kill drunk start human,AG
facebook_corpus_msr_330974,sure gunman white american christian muslim otherwise headline would read muslim beerdrinking first word would calls trumps muslim ban worlds laughing stock failed implement great orange one call beerdrinking ban?,AG
facebook_corpus_msr_443958,cannot good country least support trying something better country today whole world recognise india modi,AG
facebook_corpus_msr_1521855,people promising banning beef north east hypocrisy best,AG
facebook_corpus_msr_1945493,take guy seriouslyafter contribution producing three children,AG
facebook_corpus_msr_444166,indian muslims anti indians waiting become soon become majority people grab indiaand always heart sympathy pakistan side shows love indiaall farce,AG
facebook_corpus_msr_1853672,hell happening thinking face,AG
facebook_corpus_msr_2073039,man whats people copy pasting comment everywhere yall get tired,AG
facebook_corpus_msr_461576,amma always remain hearts may noble soul rest peace,NAG
facebook_corpus_msr_1455347,like,NAG
facebook_corpus_msr_2020815,per zee news seats bjp up total constituency two seats given zee news free cost,AG
facebook_corpus_msr_327859,irony display picture one end happy seeing one innocent dying end praying kill innocent,AG
facebook_corpus_msr_470839,tata motors reaction whats view,NAG
facebook_corpus_msr_397732,army entered like thiefs territory armymen cowards india surgical strikes informed informed army,AG
facebook_corpus_msr_221647,one defeat modi bihari people might saddened dint elect bjp jdu burden,AG
facebook_corpus_msr_457396,anuj porinju view markets make new high budget,NAG
facebook_corpus_msr_2111306,called seculars ruled nation yrs even banned rsslol,AG
facebook_corpus_msr_2032108,salute friend,AG
facebook_corpus_msr_1805515,puppet came mcd election chutiya,AG
facebook_corpus_msr_1614499,r getting benefits areas r getting used thats whys start ing roads make weak ,AG
facebook_corpus_msr_322423,r u guys dis university? gaurav seth pj anshu mishra shubham singh,NAG
facebook_corpus_msr_2115208,alright lost match series losing winning part game cant always win every game win some lose some,NAG
facebook_corpus_msr_329013,fired across border went mutilate corpses sorry buy all,AG
facebook_corpus_msr_487733,see nifty hitting time highs within expiry??,NAG
facebook_corpus_msr_1762565,yes sir that course happen cow become president pm cm mp mla human loiter road foraging food dying swallowing plastic,AG
facebook_corpus_msr_394667,let us accept fact mini pakistan many pro pakistani anti national elements exists within country funded enemy countries weaken integritypeace security nation help heavyweight traitors politics north east kashmir hyderabad long large section fringe elements short term political monetary gains prefer destabilize economy national integrity following support external forces resolving issue pakistan china distant dream mr modi associates unless rotten fishes taken pond cannot expect clean system,NAG
facebook_corpus_msr_1610605,winning elections important living upto expectations citizens days people blindly vote religion development frankly speaking need activists like minded people want experience unbiased development group activist keep legal check politicians beurocrats see functioning properly squandering public money way save country religion based corrupt politicians,AG
facebook_corpus_msr_1723302,guess what happens daily right??,AG
facebook_corpus_msr_1775238,congratulations!,NAG
facebook_corpus_msr_1804874, lakh end truth prevails truth kejriwal delivers! period!!,NAG
facebook_corpus_msr_1403043,true good work opposed group vested interestin fact political parties often support elements search vote banks aggressive media activism also absent hi,AG
facebook_corpus_msr_490983,would like know welspun india rec wockhardt gati metalyst,NAG
facebook_corpus_msr_2018502,true,AG
facebook_corpus_msr_401411,guys long bear nussiance weak cannot give befitting replypouting facepouting facepouting facepouting face,NAG
facebook_corpus_msr_1735840,however reservation poverty alleviation scheme social groups historically exploited marginalized rendered weaker muslims wanted window within obcs supreme court says create subwindow within obcs without breaching barrier basis religion,AG
facebook_corpus_msr_480888,jokes made seriously indian way business fear uncertainty,NAG
facebook_corpus_msr_2081757,freedom speech lampooning freedom speech another young person!,AG
facebook_corpus_msr_1493902,image deteriorated,AG
facebook_corpus_msr_483459,see new battle btwn tata sons shapoorjees,NAG
facebook_corpus_msr_1818436,mens blame daily soaps women mental violence men,NAG
facebook_corpus_msr_334831,time congress state centre years assam years centre importantly pm nominated assam!,NAG
facebook_corpus_msr_1897089,payed police kept money them promised rbi,AG
facebook_corpus_msr_332833,yes antoniofor us god within us everythingeveryone manifestation god followers sanatana dharma,NAG
facebook_corpus_msr_332262,president history like modi kills thousand muslims gujrat,AG
facebook_corpus_msr_1805654,mouni baba open mouth,AG
facebook_corpus_msr_1804975,anna unfortunately lost credibility conveniently forgotten lokpal bill saffron skin kejriwal hand transformed face indian politics major parties quietly adopted everything stood for,AG
facebook_corpus_msr_1723335, rule says loudspeakers used pm am if muslims right give azaan nonmuslims right sleep peacefully high court verdict,AG
facebook_corpus_msr_329063,india fire innocent civilians mutilating soldiers fully justified,AG
facebook_corpus_msr_402523,mohammad usman get country partition based two nations theory muslims gone pakistan,AG
facebook_corpus_msr_492174,wanna meet girl said iphone user friendly!!!,AG
facebook_corpus_msr_483354,big decision tata need clear air,NAG
facebook_corpus_msr_423044,hello anuj sir views dial rally continue profit booking,NAG
facebook_corpus_msr_2035898,best allrevolving hearts cutiepie best smiling face smiling eyes film movie camera phillauritwo hearts,NAG
facebook_corpus_msr_470956,please advice bank nifty npa benefit psu banks ?,NAG
facebook_corpus_msr_397451,soon happen china depend pakistan supporting pakistan means end humanity,AG
facebook_corpus_msr_323706,hope u get well soon wishes u got theres point wasting time make u understand anything best buddy,AG
facebook_corpus_msr_473742,correption made essy becouse rs note big amount compaire rs rs,NAG
facebook_corpus_msr_2111406,please leave secular stands something good society,NAG
facebook_corpus_msr_407584,mumbai many top politician pray health,NAG
facebook_corpus_msr_1679259,happens pantry coach dedicated catering every expressdo really get food meal picture travel indian railways? yes please let us know name expressthe fact railway passengers get pathetic food served indian railways,AG
facebook_corpus_msr_446433,many people dumb enuf undrstand dese things,AG
facebook_corpus_msr_1804942,bhaiya sabse pahle ye hai kon mahangaayi badhi banwaas pr gaye hue the note ban pr ese ghayab hue jaise gadhe k sir se seeng patrol eatables price hike pr ye mr india ban gaye k kahin dikhe hi nahi ab aagaye neend se jaag kar k chalo thoda publicity b lelun,AG
facebook_corpus_msr_422044,congratulations bmp modiji please something develop india except good speeches,AG
facebook_corpus_msr_329970,obviously read turning cheek funny kind christian fellow,AG
facebook_corpus_msr_1956946,modi jis elevation ominous sickulars antidemocratic individuals declared would leave country becomes pm! black forces chanting mantras oblivious fact st century people differentiate chalk cheese!,AG
facebook_corpus_msr_1922865,nda rules party party popper good governance squinting face tonguesquinting face tongue,AG
facebook_corpus_msr_325339,bjp done last yr mcdstop barkingdo work,AG
facebook_corpus_msr_457196,thanks acknowledging im chelsea fan though im happier too! ,NAG
facebook_corpus_msr_2018698,bhai mainstream even mira rajput said third wave feminism destructive yes mainstream feminists indeed bullies keep rioting creating ruckus hate free speech conceal facts project lies etc i evidence it please counter perspective facts,AG
facebook_corpus_msr_1956229,happening × administration always sleeping mode,AG
facebook_corpus_msr_432276,pm lair means den u lair nd u praying god also lai,NAG
facebook_corpus_msr_2018619,priveleged life work meet ends get make choices,AG
facebook_corpus_msr_425103,please comment rain industry regarding today stellar result,NAG
